[20:02:52],[20:03:02],16,1000,1000,1000,0.638049,5510852931.312500,0.000000,0.000000,2417878404.625000,917317423.687500,53071.500000,244.1125,4.08547350377,8
[20:03:56],[20:04:13],16,1200,1200,1200,1.071795,9485415908.125000,0.000000,0.000000,4137130049.875000,1995539149.437500,308766.000000,245.913333333,3.46022478396,15
[20:04:57],[20:05:10],8,1400,1400,1400,1.560805,13873040233.875000,0.000000,0.000000,6464093953.750000,2153505063.500000,634130.750000,244.736363636,4.28279278621,11
[20:05:49],[20:06:01],4,1600,1600,1600,2.896928,25449377299.250000,0.000000,0.000000,10028582699.250000,9193668857.750000,2563328.500000,244.53,2.6423663637,10
[20:06:38],[20:06:51],2,1800,1800,1800,6.432080,40839446265.000000,0.000000,0.000000,16419972419.000000,10049032719.000000,38865307.000000,282.427272727,8.10477871484,11
[20:07:30],[20:07:45],2,2000,2000,2000,7.855503,60399949128.000000,0.000000,0.000000,22416036037.000000,18504215444.000000,91828457.000000,266.376923077,8.87712304801,13
[20:08:25],[20:08:40],2,2200,2200,2200,7.570227,67355333424.000000,0.000000,0.000000,28449828613.500000,18263160366.000000,120013856.000000,255.076923077,11.4627929102,13
[20:09:14],[20:09:27],1,2400,2400,2400,13.071190,99747479772.000000,0.000000,0.000000,35536268437.000000,34205396725.000000,207866148.000000,254.527272727,6.06451540582,11
[20:10:02],[20:10:14],1,2600,2600,2600,12.011061,111403731846.000000,0.000000,0.000000,43483102027.000000,31419676643.000000,225001979.000000,254.03,9.39212968394,10
[20:10:55],[20:11:14],1,2800,2800,2800,18.709228,168774100244.000000,0.000000,0.000000,59012669075.000000,56507921150.000000,311932339.000000,249.394117647,8.43853002171,17
[20:12:01],[20:12:26],1,3000,3000,3000,24.115670,218400188597.000000,0.000000,0.000000,78263316341.000000,62918038051.000000,325919839.000000,245.052173913,6.49078742227,23
