[15:41:02],[15:41:21],256,2000,2000,2000,0.074920,8.066406,0.000000,4019476224.480469,152590192.804688,145547942.617188,5848391.785156,
[15:42:30],[15:42:48],128,2500,2500,2500,0.139604,6.078125,0.000000,7849133666.242188,290986350.367188,259146863.765625,12153690.796875,
[15:43:53],[15:44:08],64,3000,3000,3000,0.242224,8.968750,0.000000,13562007823.484375,500214458.812500,472084213.359375,21540762.218750,
[15:45:07],[15:45:19],32,3500,3500,3500,0.378654,11.500000,0.000000,21542125564.812500,789853860.937500,725451685.031250,32949447.687500,
[15:46:27],[15:46:45],32,4000,4000,4000,0.558826,16.093750,0.000000,32150035375.625000,1182363413.843750,1157312851.812500,51817186.718750,
[15:47:47],[15:47:59],16,4500,4500,4500,0.791298,65.437500,0.000000,45775305986.125000,1666567546.437500,1524689629.500000,69177495.000000,
[15:49:09],[15:49:26],16,5000,5000,5000,1.086995,33.562500,0.000000,62798372131.750000,2327041802.500000,2323418598.250000,96080003.625000,
[15:50:30],[15:50:42],8,5500,5500,5500,1.443736,42.875000,0.000000,83585761582.500000,3030041305.500000,2842466955.875000,124086783.125000,
[15:51:54],[15:52:09],8,6000,6000,6000,1.858912,51.125000,0.000000,108503446544.500000,4017487390.625000,3954825270.125000,162678466.875000,
[15:53:32],[15:53:50],8,6500,6500,6500,2.352339,66.625000,0.000000,137940380016.500000,4987816204.875000,4608758419.375000,202150105.500000,
[15:55:07],[15:55:19],4,7000,7000,7000,2.940963,81.750000,0.000000,172289253955.000000,6317058103.000000,6137236190.750000,254591199.750000,
[15:56:42],[15:56:56],4,7500,7500,7500,3.602513,102.500000,0.000000,211930930180.500000,7648977227.000000,7230421800.000000,306042928.500000,
[15:58:26],[15:58:44],4,8000,8000,8000,4.360440,333.500000,0.000000,257140413443.250000,9177400982.250000,8989301691.750000,368630466.750000,
[16:00:05],[16:00:16],2,8500,8500,8500,5.592873,159.500000,0.000000,308520292897.000000,11199323915.000000,10656472585.500000,439253229.500000,
[16:01:52],[16:02:05],2,9000,9000,9000,6.209300,164.000000,0.000000,366133440136.000000,13172530936.000000,12811445099.500000,517835428.000000,
[16:03:45],[16:04:00],2,9500,9500,9500,7.421119,199.500000,0.000000,430668576168.500000,15472577394.500000,14321153602.500000,608405696.500000,
[16:05:51],[16:06:08],2,10000,10000,10000,8.490271,217.000000,0.000000,502260752903.000000,17980818652.000000,17664393348.500000,703284608.000000,
