[17:10:43],[17:10:58],32768,403394,403394,3387388,0.000457,153.815643,amazon0601.mtx,3387388,967.246153846,1.52194985494,13
[17:12:43],[17:12:54],65536,29957,29957,1995041,0.000167,267.645401,mixtank_new.mtx,1995041,954.7,0.743863786814,9
[17:14:36],[17:14:52],16384,735323,735323,5158388,0.000939,77747.000061,amazon-2008.mtx,5158388,972.621428571,1.46686184539,14
[17:19:39],[17:19:56],256,1504002,1504002,110879972,0.066771,21427118.222656,ML_Geer.mtx,110879972,870.573333333,0.885789039344,15
[17:22:13],[17:22:27],1024,377002,377002,27689972,0.013816,5334260.895508,ML_Laplace.mtx,27689972,897.633333333,0.887255443614,12
[17:24:23],[17:24:38],262144,80800,80800,311492,0.000058,444.660091,apache1.mtx,542184,961.730769231,1.31522716107,13
[17:26:33],[17:26:47],32768,715176,715176,2766523,0.000425,394.941101,apache2.mtx,4817870,989.275,1.37363568678,12
[17:28:56],[17:29:15],131072,14000,14000,1853104,0.000144,1118.958221,appu.mtx,1853104,957.935294118,1.669780252,17
[17:46:49],[17:47:03],64,22744080,22744080,639999458,0.210510,129588501.796875,arabic-2005.mtx,639999458,953.058333333,1.06258986548,12
[17:49:16],[17:49:33],2048,45101,45101,14506196,0.008318,5454674.272461,mouse_gene.mtx,28967291,971.2,3.05395917895,15
[17:51:04],[17:51:18],1024,3799275,3799275,11368076,0.013285,9935058.601562,AS365.mtx,22110421,963.866666667,1.27301043026,12
[17:53:23],[17:53:39],1024,11950757,11950757,12711603,0.015413,8705034.695312,asia_osm.mtx,20362934,976.85,1.50748134317,14
[17:55:28],[17:55:40],32768,99340,99340,954163,0.000355,284.821320,ASIC_100k.mtx,954163,782.375,139.025400107,4
[17:57:40],[17:57:52],131072,99190,99190,578890,0.000093,375.825851,ASIC_100ks.mtx,578890,964.1,1.1627553483,10
[17:59:40],[17:59:51],131072,10848,10848,620313,0.000084,293.753197,msc10848.mtx,1229778,953.711111111,1.0702486154,9
[18:01:26],[18:01:36],16384,321821,321821,2635364,0.000620,297.520691,ASIC_320k.mtx,2635364,932.85,0.848528137424,8
[18:03:24],[18:03:35],131072,23052,23052,588933,0.000085,310.306091,msc23052.mtx,1154814,957.411111111,1.13474857171,9
[18:05:24],[18:05:40],65536,321671,321671,1827807,0.000242,395.519104,ASIC_320ks.mtx,1827807,965.735714286,2.44499697425,14
[18:07:16],[18:07:26],2048,415863,415863,10328399,0.004964,3960878.100586,msdoor.mtx,20240935,973.7875,0.784916396822,8
[18:09:03],[18:09:19],8192,682862,682862,3871773,0.001899,158831.527710,ASIC_680k.mtx,3871773,940.142857143,1.30860573879,14
[18:10:59],[18:11:15],8192,97578,97578,4925574,0.001933,1512159.945312,m_t1.mtx,9753570,986.214285714,0.998468214572,14
[18:12:55],[18:13:05],32768,682712,682712,2329176,0.000310,341.819092,ASIC_680ks.mtx,2329176,987.925,1.13330269566,8
[18:14:37],[18:14:48],512,1696415,1696415,11095298,0.021923,4717020.376953,as-Skitter.mtx,22168298,941.555555556,0.801541724305,9
[18:16:49],[18:17:09],8192,1270432,1270432,8814880,0.002362,1703244.488037,atmosmodd.mtx,8814880,1008.63888889,6.08268388213,18
[18:19:10],[18:19:30],8192,1270432,1270432,8814880,0.002429,1702520.332764,atmosmodj.mtx,8814880,996.055555556,2.33028901932,18
[18:21:20],[18:21:32],4096,1489752,1489752,10319760,0.003038,2197616.041992,atmosmodl.mtx,10319760,986.73,1.05456152025,10
[18:23:30],[18:23:47],8192,1039183,1039183,3114818,0.002055,1075456.484375,NACA0015.mtx,6060802,988.486666667,1.68398997094,15
[18:26:07],[18:26:18],256,943695,943695,39297771,0.039706,15476907.921875,audikw_1.mtx,77651847,920.911111111,0.921887489453,9
[18:28:15],[18:28:34],131072,54870,54870,1366097,0.000146,388.767639,nasasrb.mtx,2677324,982.1,2.20534111007,17
[18:30:13],[18:30:27],16384,448695,448695,3314611,0.000841,31448.152222,auto.mtx,6582550,957.8,1.49666295471,12
[18:32:17],[18:32:28],32768,41092,41092,1683902,0.000336,382.791412,av41092.mtx,1683902,0,0,0
[18:35:21],[18:35:32],131072,87500,87500,312481,0.000088,304.342758,ncvxqp7.mtx,574962,943.133333333,0.907989231458,9
