[17:51:04],[17:51:18],1024,3799275,3799275,11368076,0.013285,9935058.601562,AS365.mtx,22110421,
[17:53:23],[17:53:39],1024,11950757,11950757,12711603,0.015413,8705034.695312,asia_osm.mtx,20362934,
[17:55:28],[17:55:40],32768,99340,99340,954163,0.000355,284.821320,ASIC_100k.mtx,954163,
[17:57:40],[17:57:52],131072,99190,99190,578890,0.000093,375.825851,ASIC_100ks.mtx,578890,
[17:59:40],[17:59:51],131072,10848,10848,620313,0.000084,293.753197,msc10848.mtx,1229778,
[18:01:26],[18:01:36],16384,321821,321821,2635364,0.000620,297.520691,ASIC_320k.mtx,2635364,
[18:03:24],[18:03:35],131072,23052,23052,588933,0.000085,310.306091,msc23052.mtx,1154814,
[18:05:24],[18:05:40],65536,321671,321671,1827807,0.000242,395.519104,ASIC_320ks.mtx,1827807,
[18:07:16],[18:07:26],2048,415863,415863,10328399,0.004964,3960878.100586,msdoor.mtx,20240935,
[18:09:03],[18:09:19],8192,682862,682862,3871773,0.001899,158831.527710,ASIC_680k.mtx,3871773,
[18:10:59],[18:11:15],8192,97578,97578,4925574,0.001933,1512159.945312,m_t1.mtx,9753570,
[18:12:55],[18:13:05],32768,682712,682712,2329176,0.000310,341.819092,ASIC_680ks.mtx,2329176,
[18:14:37],[18:14:48],512,1696415,1696415,11095298,0.021923,4717020.376953,as-Skitter.mtx,22168298,
[18:16:49],[18:17:09],8192,1270432,1270432,8814880,0.002362,1703244.488037,atmosmodd.mtx,8814880,
[18:19:10],[18:19:30],8192,1270432,1270432,8814880,0.002429,1702520.332764,atmosmodj.mtx,8814880,
[18:21:20],[18:21:32],4096,1489752,1489752,10319760,0.003038,2197616.041992,atmosmodl.mtx,10319760,
[18:23:30],[18:23:47],8192,1039183,1039183,3114818,0.002055,1075456.484375,NACA0015.mtx,6060802,
[18:26:07],[18:26:18],256,943695,943695,39297771,0.039706,15476907.921875,audikw_1.mtx,77651847,
[18:28:15],[18:28:34],131072,54870,54870,1366097,0.000146,388.767639,nasasrb.mtx,2677324,
[18:30:13],[18:30:27],16384,448695,448695,3314611,0.000841,31448.152222,auto.mtx,6582550,
[18:32:17],[18:32:28],32768,41092,41092,1683902,0.000336,382.791412,av41092.mtx,1683902,
[18:35:21],[18:35:32],131072,87500,87500,312481,0.000088,304.342758,ncvxqp7.mtx,574962,
[18:37:21],[18:37:35],4096,36000,36000,7128473,0.003277,2574610.131104,nd12k.mtx,14220946,
[18:39:18],[18:39:30],32768,115625,115625,3897557,0.000357,266.807648,barrier2-10.mtx,3897557,
[18:41:24],[18:41:36],32768,115625,115625,3897557,0.000359,271.900696,barrier2-11.mtx,3897557,
[18:43:30],[18:43:42],32768,115625,115625,3897557,0.000358,269.867981,barrier2-12.mtx,3897557,
[18:45:35],[18:45:46],32768,113076,113076,3805068,0.000339,242.116791,barrier2-1.mtx,3805068,
[18:47:40],[18:47:51],32768,113076,113076,3805068,0.000339,249.019684,barrier2-2.mtx,3805068,
[18:49:39],[18:49:54],2048,72000,72000,14393817,0.007345,5439452.777832,nd24k.mtx,28715634,
[18:51:36],[18:51:47],32768,113076,113076,3805068,0.000339,240.768188,barrier2-3.mtx,3805068,
[18:53:33],[18:53:44],65536,9000,9000,1644345,0.000179,257.035019,nd3k.mtx,3279690,
[18:55:27],[18:55:38],32768,113076,113076,3805068,0.000339,244.104462,barrier2-4.mtx,3805068,
[18:57:26],[18:57:41],32768,18000,18000,3457658,0.000472,45590.395691,nd6k.mtx,6897316,
