[18:05:45],[18:05:55],8192,2500,2500,2500,0.001280,41213.708374,2501.706909,3231939.308105,7058442.400879,880760.827271,571093.705566,
[18:07:27],[18:07:39],4096,3500,3500,3500,0.003082,173569.910156,3501.490479,6283601.892090,13850754.172607,3447813.465088,1577478.033447,
[18:09:10],[18:09:24],2048,4500,4500,4500,0.006817,102194.222168,4501.424316,10273986.705566,22886403.172363,22842199.071777,2573448.680664,
[18:10:49],[18:11:00],1024,5500,5500,5500,0.010422,309570.654297,5501.444336,15322446.716797,34180020.054688,34176830.510742,3843387.101562,
[18:12:33],[18:12:48],1024,6500,6500,6500,0.014403,147211.169922,6501.675781,21420814.396484,47747913.391602,47742106.955078,5357566.195312,
[18:14:29],[18:14:48],1024,7500,7500,7500,0.018875,426694.978516,7501.994141,28475797.166016,63582565.416992,63571200.708984,7128307.136719,
[18:16:23],[18:16:36],512,8500,8500,8500,0.024390,192294.195312,8502.154297,36610196.531250,81701376.609375,81689629.734375,9154988.914062,
[18:18:21],[18:18:37],512,9500,9500,9500,0.031748,561933.861328,9502.582031,45801261.777344,103902619.000000,103904210.226562,13062606.646484,
[18:20:30],[18:20:50],512,10500,10500,10500,0.038694,245933.316406,10502.714844,56001441.005859,127073423.904297,127073301.189453,16076408.382812,
[18:22:40],[18:22:51],256,11500,11500,11500,0.044919,676314.925781,11503.207031,67031206.019531,151823043.207031,151813212.542969,18587183.265625,
[18:24:46],[18:25:00],256,12500,12500,12500,0.052464,288315.214844,12503.144531,79165087.332031,177992232.460938,177965055.378906,20656987.890625,
[18:27:05],[18:27:21],256,13500,13500,13500,0.061401,798220.335938,13503.312500,92273109.082031,206429823.859375,206393914.214844,23155467.019531,
[18:29:41],[18:29:59],256,14500,14500,14500,0.070308,332953.414062,14503.800781,106490137.093750,238227279.445312,238185087.406250,26748943.976562,
[18:32:08],[18:32:19],128,15500,15500,15500,0.079030,882660.414062,15504.390625,121613652.140625,272339745.875000,272283454.875000,30700464.359375,
[18:34:50],[18:35:01],128,16500,16500,16500,0.092693,375858.218750,16504.226562,137947317.632812,308765496.273438,308720244.070312,35042469.898438,
[18:37:41],[18:37:54],128,17500,17500,17500,0.102798,1000465.898438,17504.632812,155095162.882812,347408383.781250,347349688.546875,39545132.257812,
[18:40:44],[18:40:59],128,18500,18500,18500,0.115722,421797.398438,18504.734375,173459378.445312,388391997.453125,388333586.093750,44578586.468750,
[18:44:05],[18:44:22],128,19500,19500,19500,0.130158,1122620.679688,19505.093750,192777605.304688,434074855.101562,434037182.054688,52321785.257812,
[18:47:42],[18:48:01],128,20500,20500,20500,0.149555,483475.570312,20505.593750,213628679.664062,484487401.945312,484469747.625000,63007385.203125,
[18:51:20],[18:51:31],64,21500,21500,21500,0.170689,1288063.921875,21505.843750,235586345.890625,537394944.078125,537447831.000000,75350466.531250,
[18:55:00],[18:55:12],64,22500,22500,22500,0.187862,555635.015625,22506.328125,258203724.781250,588499671.562500,588515265.812500,83576939.015625,
[18:59:02],[18:59:14],64,23500,23500,23500,0.193015,1350817.843750,23506.375000,280223983.609375,628191301.296875,628115053.562500,78582892.250000,
[19:03:19],[19:03:33],64,24500,24500,24500,0.212926,559718.171875,24507.265625,304856681.734375,683168616.171875,683030413.906250,87781575.937500,
