[16:43:08],[16:43:24],65536,144649,144649,1074393,0.000244,241.552917,144.mtx,2142988,949.414285714,1.54497209538,14
[16:45:14],[16:45:26],131072,70304,70304,1528092,0.000093,453.331841,lhr71.mtx,1528092,981.69,1.36853936735,10
[16:47:19],[16:47:35],131072,101492,101492,874378,0.000121,343.175407,2cubes_sphere.mtx,1647264,975.178571429,8.66604033582,14
[16:49:24],[16:49:35],131072,22695,22695,1350309,0.000085,514.218979,li.mtx,1350309,955.455555556,1.13735669291,9
[16:51:41],[16:51:58],131072,256000,256000,1011200,0.000132,460.737350,Lin.mtx,1766400,0,0,0
[16:53:26],[16:53:37],1024,3712815,3712815,11108633,0.011029,6461001.947266,333SP.mtx,21167989,972.922222222,1.04112949112,9
[16:56:34],[16:56:53],256,5363260,5363260,79023142,0.077559,23528690.777344,ljournal-2008.mtx,79023142,931.952941176,1.67406432059,17
[16:58:42],[16:58:53],131072,51448,51448,1056610,0.000084,419.281441,3D_51448_3D.mtx,1056610,965.177777778,0.872770528296,9
[17:01:23],[17:01:34],512,1470152,1470152,44279572,0.019769,17231142.386719,Long_Coup_dt0.mtx,87088992,978.855555556,0.925095924289,9
[17:03:17],[17:03:28],65536,45330,45330,1629474,0.000164,410.001160,3dtube.mtx,3170988,953.511111111,0.999382525412,9
[17:05:58],[17:06:08],512,1470152,1470152,44279572,0.019623,17230147.994141,Long_Coup_dt6.mtx,87088992,979.95,0.729725975966,8
[17:07:53],[17:08:05],65536,110971,110971,741934,0.000196,225.393875,598a.mtx,1481971,947.63,1.0964032105,10
[17:09:51],[17:10:09],32768,534388,534388,1088904,0.000569,297.976105,lp1.mtx,1399171,925.46875,1.45246288679,16
[17:11:44],[17:12:00],1024,6815744,6815744,13624320,0.015246,10121333.965820,adaptive.mtx,25118720,971.321428571,1.2616194646,14
[17:13:57],[17:14:14],4096,503625,503625,9027150,0.004326,3460351.152344,af_0_k101.mtx,17550675,980.633333333,1.11215506513,15
[17:15:55],[17:16:07],32768,214765,214765,1679018,0.000377,250.821838,m14b.mtx,3318044,947.13,1.30157596782,10
[17:17:53],[17:18:11],4096,503625,503625,9027150,0.004427,3460355.093750,af_1_k101.mtx,17550675,977.61875,1.765367791,16
[17:20:09],[17:20:27],4096,503625,503625,9027150,0.004442,3460492.105469,af_2_k101.mtx,17550675,978.425,1.66602070815,16
[17:21:55],[17:22:07],1024,3501776,3501776,10501936,0.011580,8861692.337891,M6.mtx,20422977,975.26,1.02097992145,10
[17:23:53],[17:24:11],4096,503625,503625,9027150,0.004229,3460146.612793,af_3_k101.mtx,17550675,983.88125,1.48375315922,16
[17:26:08],[17:26:26],4096,503625,503625,9027150,0.004319,3460334.848145,af_4_k101.mtx,17550675,980.61875,1.38664106296,16
[17:28:24],[17:28:43],4096,503625,503625,9027150,0.004646,3460555.446289,af_5_k101.mtx,17550675,974.5,1.50489397711,17
[17:30:58],[17:31:11],1024,1508065,1508065,27090195,0.012346,10381732.912109,af_shell10.mtx,52672325,982.163636364,1.0083945181,11
[17:33:07],[17:33:26],4096,504855,504855,9046865,0.004432,3468800.263184,af_shell1.mtx,17588875,977.6,1.41462944639,17
[17:35:22],[17:35:41],131072,206500,206500,1273389,0.000142,480.003906,mac_econ_fwd500.mtx,1273389,984.347058824,2.82949125485,17
[17:37:26],[17:37:44],4096,504855,504855,9046865,0.004410,3468732.359619,af_shell2.mtx,17588875,982.91875,1.43536526275,16
[17:39:38],[17:39:53],131072,160000,160000,1750416,0.000115,579.233910,majorbasis.mtx,1750416,1005.29230769,1.67903889104,13
[17:41:38],[17:41:56],4096,504855,504855,9046865,0.004370,3468589.127197,af_shell3.mtx,17588875,980.11875,1.49215395905,16
[17:43:44],[17:44:00],65536,389874,389874,1167685,0.000242,281.712692,mario002.mtx,2101242,976.628571429,1.50780283451,14
[17:45:45],[17:46:03],4096,504855,504855,9046865,0.004375,3468549.264648,af_shell4.mtx,17588875,975.93125,12.700576697,16
[17:47:59],[17:48:16],131072,103430,103430,2121550,0.000131,531.905640,matrix_9.mtx,2121550,991.286666667,1.7832056029,15
[17:50:01],[17:50:19],4096,504855,504855,9046865,0.004416,3468634.100098,af_shell5.mtx,17588875,978.75,0.269258240357,4
