[18:53:44],[18:53:57],1024,3799275,3799275,11368076,0.012930,9947355.688477,AS365.mtx,22110421,
[18:56:02],[18:56:17],1024,11950757,11950757,12711603,0.014314,8693196.664062,asia_osm.mtx,20362934,
[18:58:06],[18:58:17],32768,99340,99340,954163,0.000350,290.666443,ASIC_100k.mtx,954163,
[19:00:16],[19:00:27],131072,99190,99190,578890,0.000084,511.123619,ASIC_100ks.mtx,578890,
[19:02:15],[19:02:27],131072,10848,10848,620313,0.000085,354.360886,msc10848.mtx,1229778,
[19:04:16],[19:04:36],32768,321821,321821,2635364,0.000593,341.817291,ASIC_320k.mtx,2635364,
[19:06:24],[19:06:35],131072,23052,23052,588933,0.000085,376.607323,msc23052.mtx,1154814,
[19:08:23],[19:08:37],65536,321671,321671,1827807,0.000213,447.023758,ASIC_320ks.mtx,1827807,
[19:10:13],[19:10:23],2048,415863,415863,10328399,0.005060,3964420.359375,msdoor.mtx,20240935,
[19:12:00],[19:12:15],8192,682862,682862,3871773,0.001848,155620.038818,ASIC_680k.mtx,3871773,
[19:13:57],[19:14:13],8192,97578,97578,4925574,0.002001,1534001.283691,m_t1.mtx,9753570,
[19:16:05],[19:16:22],65536,682712,682712,2329176,0.000257,441.422836,ASIC_680ks.mtx,2329176,
[19:17:55],[19:18:06],512,1696415,1696415,11095298,0.021818,4720587.498047,as-Skitter.mtx,22168298,
[19:20:07],[19:20:26],8192,1270432,1270432,8814880,0.002303,1705647.255981,atmosmodd.mtx,8814880,
[19:22:13],[19:22:24],4096,1270432,1270432,8814880,0.002500,1701679.024902,atmosmodj.mtx,8814880,
[19:24:14],[19:24:26],4096,1489752,1489752,10319760,0.002902,2196779.331787,atmosmodl.mtx,10319760,
[19:26:24],[19:26:40],8192,1039183,1039183,3114818,0.002001,1066344.745728,NACA0015.mtx,6060802,
[19:29:02],[19:29:12],256,943695,943695,39297771,0.040564,15478365.644531,audikw_1.mtx,77651847,
[19:31:09],[19:31:28],131072,54870,54870,1366097,0.000145,464.689590,nasasrb.mtx,2677324,
[19:33:06],[19:33:19],16384,448695,448695,3314611,0.000786,41166.622925,auto.mtx,6582550,
[19:35:10],[19:35:21],32768,41092,41092,1683902,0.000335,377.234863,av41092.mtx,1683902,
