[15:35:04],[15:35:15],16384,389874,389874,1167685,0.000642,4893801.602356,0.000000,0.000000,935022.304321,898764.437988,122209.334900,mario002.mtx,2101242,257.611111111,1.93703349621,9
[15:37:00],[15:37:19],4096,504855,504855,9046865,0.004609,6663035.140381,760265.624023,8057856.671143,3593435.825439,3596847.978271,3635453.934570,af_shell4.mtx,17588875,303.882352941,2.40470991136,17
[15:39:09],[15:39:25],65536,103430,103430,2121550,0.000244,1936672.149231,91431.242523,678993.785797,482840.437698,463327.136246,10.805191,matrix_9.mtx,2121550,248.4,0.250713268211,14
[15:41:11],[15:41:29],4096,504855,504855,9046865,0.004605,6664029.873291,760269.644043,8057926.184814,3593636.093262,3596829.987793,3634793.734375,af_shell5.mtx,17588875,303.48125,1.40499944395,16
[15:43:10],[15:43:21],32768,125329,125329,2678750,0.000339,2274782.846252,119180.464081,900807.752533,594325.065613,596619.112549,467.497986,matrix-new_3.mtx,2678750,243.666666667,2.63986531643,9
[15:45:07],[15:45:26],4096,504855,504855,9046865,0.004614,6666709.761719,760265.296875,8057922.836670,3593329.328857,3596794.759277,3634891.263672,af_shell6.mtx,17588875,305.188235294,1.94811593837,17
[15:47:21],[15:47:39],4096,504855,504855,9046865,0.004598,6661981.217285,760267.480957,8057960.135742,3593701.887451,3596895.039795,3635567.291748,af_shell7.mtx,17588875,305.36875,1.62200445052,16
[15:49:36],[15:49:55],4096,504855,504855,9046865,0.004618,6669104.408203,760265.270020,8057841.843750,3593809.415039,3596906.222656,3634254.434570,af_shell8.mtx,17588875,305.564705882,1.99821719848,17
[15:51:50],[15:52:09],4096,504855,504855,9046865,0.004613,6673159.278809,760264.977539,8057738.568604,3593248.473145,3596804.935059,3635151.979736,af_shell9.mtx,17588875,304.305882353,2.14187125121,17
[15:54:36],[15:54:50],2048,2707524,2707524,14810202,0.006662,33276476.888672,1013.486816,6667.579102,4526405.929688,4609564.632324,4274500.784668,memchip.mtx,14810202,303.733333333,0.933928381741,12
[15:57:10],[15:57:22],32768,262111,262111,1234877,0.000384,3372871.311737,2664.003693,19990.181488,972336.827393,761513.408417,5.567688,amazon0302.mtx,1234877,240.21,0.07,10
[15:59:03],[15:59:14],8192,400727,400727,3200440,0.001355,7218205.264038,30795.422485,239239.047119,2347811.894165,2051569.311768,538889.998291,amazon0312.mtx,3200440,275.511111111,1.94104464683,9
[16:00:55],[16:01:06],8192,410236,410236,3356824,0.001343,7533095.456787,31564.834717,244304.889038,2407128.483887,2105652.285156,583998.353027,amazon0505.mtx,3356824,281.555555556,0.164053589558,9
[16:02:40],[16:02:57],4096,66463,66463,5209641,0.004192,1037752.335449,74944.500000,4982339.767578,2013031.296631,2008080.833008,1975984.406006,mip1.mtx,10298495,268.173333333,2.16839930722,15
[16:04:27],[16:04:39],8192,403394,403394,3387388,0.001348,7547164.138794,32422.926758,253749.983887,2425821.919312,2133686.222656,602767.953003,amazon0601.mtx,3387388,280.98,3.44203428222,10
[16:06:29],[16:06:47],65536,29957,29957,1995041,0.000263,399382.488174,53358.544128,944767.492706,509330.553650,464002.796326,11.490601,mixtank_new.mtx,1995041,239.33125,1.8586684582,16
[16:08:26],[16:08:43],8192,735323,735323,5158388,0.002122,11528124.127930,4952.004028,38385.128174,2013982.405762,1975962.380981,1253489.285645,amazon-2008.mtx,5158388,295.74,1.59114214743,15
[16:13:26],[16:13:40],512,1504002,1504002,110879972,0.027644,16812672.550781,3005151.822266,54085010.244141,22266500.718750,22165152.662109,22568331.886719,ML_Geer.mtx,110879972,302.141666667,2.69148606205,12
[16:16:01],[16:16:15],2048,377002,377002,27689972,0.006983,4172013.510254,752342.436035,13514834.914551,5564307.136230,5477691.333496,5603370.010254,ML_Laplace.mtx,27689972,302.391666667,2.20320158456,12
[16:18:04],[16:18:17],131072,80800,80800,311492,0.000100,1108664.896484,0.000000,0.000000,148997.639999,134392.219162,2.783379,apache1.mtx,542184,241.972727273,2.02039191027,11
[16:20:00],[16:20:12],8192,715176,715176,2766523,0.001501,10502080.271729,0.000000,0.000000,1444008.723633,1204993.057495,1097113.125610,apache2.mtx,4817870,311.82,2.04440700449,10
[16:22:10],[16:22:24],65536,14000,14000,1853104,0.000220,206871.754410,24711.269165,905941.757812,1767177.793427,234145.637070,7.033920,appu.mtx,1853104,246.75,1.86122719373,12
[16:40:36],[16:40:48],64,22744080,22744080,639999458,0.180713,273083302.500000,16121956.453125,271551121.328125,143657796.796875,134630609.078125,136406361.156250,arabic-2005.mtx,639999458,295.2,2.64310423555,10
[16:43:00],[16:43:17],2048,45101,45101,14506196,0.008177,754871.932617,61578.301270,14428560.569824,27207493.478516,11865861.696777,5576793.147461,mouse_gene.mtx,28967291,294.52,1.84036228318,15
[16:44:41],[16:44:52],512,3799275,3799275,11368076,0.021492,54049498.664062,191537.246094,2271527.017578,17551840.183594,17363806.076172,11780949.353516,AS365.mtx,22110421,281.366666667,2.57034368649,9
[16:46:46],[16:46:56],512,11950757,11950757,12711603,0.020106,46534824.312500,894.375000,7016.699219,9205582.650391,9300997.517578,9236337.037109,asia_osm.mtx,20362934,282.75,2.17428149052,8
[16:48:46],[16:48:59],32768,99340,99340,954163,0.000398,1574379.835327,1352.001709,113746.922699,325735.623810,320442.916046,5.846191,ASIC_100k.mtx,954163,225.409090909,2.58719031364,11
[16:51:05],[16:51:25],131072,99190,99190,578890,0.000148,1120706.499947,1102.011086,17788.645607,169390.424438,163674.907013,4.198479,ASIC_100ks.mtx,578890,238.427777778,2.05258794792,18
[16:53:15],[16:53:30],131072,10848,10848,620313,0.000109,130742.461670,19559.028709,599279.109062,262064.085167,262092.173340,3.531456,msc10848.mtx,1229778,244.838461538,2.52694356624,13
[16:55:12],[16:55:30],16384,321821,321821,2635364,0.001074,4421493.102295,9426.175964,306856.855591,941717.217896,937022.833252,185773.420105,ASIC_320k.mtx,2635364,248.63125,1.83293437894,16
[16:57:22],[16:57:38],131072,23052,23052,588933,0.000121,278496.736732,36749.437637,543171.409210,261164.252541,270827.238533,2.687897,msc23052.mtx,1154814,243.828571429,2.47427581654,14
[16:59:21],[16:59:35],32768,321671,321671,1827807,0.000431,3484632.609558,5362.007080,69006.141022,515651.071930,506546.029724,9.900146,ASIC_320ks.mtx,1827807,241.083333333,2.08279993172,12
[17:01:10],[17:01:22],2048,415863,415863,10328399,0.005478,5531755.771484,730583.340820,9521270.909180,4422269.015137,4515208.999023,4214125.920410,msdoor.mtx,20240935,301.77,1.64015243194,10
[17:02:50],[17:03:01],4096,682862,682862,3871773,0.002636,6524133.386719,9887.439209,473043.411133,1284058.472656,1294019.090820,861799.888184,ASIC_680k.mtx,3871773,262.522222222,2.5023445796,9
[17:04:30],[17:04:41],4096,97578,97578,4925574,0.002515,1295420.103027,186294.539551,4747684.974609,1943374.533691,1918728.779541,1958080.208252,m_t1.mtx,9753570,296.311111111,9.15986953382,9
[17:06:17],[17:06:29],16384,682712,682712,2329176,0.000719,4648015.806946,4902.864502,48627.289001,724894.565613,732589.021179,221115.573669,ASIC_680ks.mtx,2329176,276.28,4.779707104,10
[17:08:13],[17:08:31],1024,1696415,1696415,11095298,0.017209,9749205.251953,188140.615234,9291742.937500,10495604.921875,8580802.275391,5283551.321289,as-Skitter.mtx,22168298,254.9875,1.53739837062,16
[17:10:19],[17:10:32],4096,1270432,1270432,8814880,0.003055,20579204.019531,0.000000,0.000000,2386488.038086,2381630.792725,2276116.854004,atmosmodd.mtx,8814880,316.745454545,2.38646320139,11
[17:12:21],[17:12:33],4096,1270432,1270432,8814880,0.003081,20616713.071289,0.000000,0.000000,2385959.658447,2381718.350098,2285209.743164,atmosmodj.mtx,8814880,315.73,0.711407056473,10
[17:14:25],[17:14:39],4096,1489752,1489752,10319760,0.003618,23494998.352539,0.000000,0.000000,2796912.554443,2785536.782471,2730577.655273,atmosmodl.mtx,10319760,315.241666667,2.27649523513,12
[17:16:28],[17:16:41],4096,1039183,1039183,3114818,0.003232,12931366.240234,63230.872559,641052.753418,4784857.097412,4683450.724854,1430584.097168,NACA0015.mtx,6060802,281.909090909,2.0002066009,11
[17:19:10],[17:19:24],512,943695,943695,39297771,0.027481,12810903.578125,1592282.345703,37481732.697266,16912685.201172,16567708.546875,16299418.859375,audikw_1.mtx,77651847,282.416666667,2.12439533881,12
[17:21:12],[17:21:26],65536,54870,54870,1366097,0.000222,642970.060272,90988.171295,1257996.414261,536668.604568,528134.971222,14.522873,nasasrb.mtx,2677324,250.225,0.839766832718,12
[17:22:52],[17:23:03],4096,448695,448695,3314611,0.002664,7790966.486328,77867.079102,1766303.873047,5163843.457764,3573936.757568,1380806.874512,auto.mtx,6582550,278.633333333,11.8755584664,9
