#p LB UB M0 T(x22)
1 100000000.0 100000000.0 16117447.7804 -627464.103824 -636164.482774 -645109.532155 -654309.720023 -663776.120229 -673520.456889 -683555.152823 -693893.382392 -704549.129204 -715537.249218 -726873.539846 -738574.815735 -750658.99198 -763145.175651 -776053.766597 -789406.568672 -803226.912633 -817539.792177 -832372.014799 -847752.369359 -863711.812588 -631784.341225 
1.05 95238095.2381 97590007.2949 16117447.7804 -627893.466925 -637047.809376 -646473.031694 -656181.337563 -666185.674915 -676499.793537 -687138.308124 -698116.767369 -709451.729791 -721160.847068 -733262.955758 -745778.178416 -758728.035249 -772135.567603 -786025.474783 -800424.265908 -815360.428771 -830864.61796 -846969.864867 -863711.812588 -881128.979265 -632437.513299 
1.1 90909090.9091 95346258.9246 16117447.7804 -628323.418041 -637933.592422 -647842.307209 -658063.693141 -668612.787048 -679505.60566 -690759.22675 -702391.878477 -714423.037908 -726873.539846 -739765.697235 -753123.434614 -766972.436289 -781340.31117 -796256.776477 -811753.862908 -827866.144234 -844630.994796 -862088.878932 -880283.677058 -899263.053927 -633092.037338 
1.15 86956521.7391 93250480.824 16117447.7804 -628753.958379 -638821.842171 -649217.39548 -659956.879433 -671057.649229 -682538.247737 -694418.508853 -706719.67185 -719464.508101 -732677.461761 -746384.806246 -760614.81861 -775397.974253 -790767.164793 -806757.942364 -823408.794175 -840761.451777 -858861.240286 -877757.473697 -897503.903567 -918159.229646 -633747.917544 
1.2 83333333.3333 91287092.9175 16117447.7804 -629185.089152 -639712.568941 -650598.333601 -661860.990185 -673520.456889 -685598.080607 -698116.767369 -711101.127332 -724577.636264 -738574.815735 -753123.434614 -768256.734854 -784010.68506 -800424.265908 -817539.792177 -835403.277009 -854064.844983 -873579.201826 -894006.170018 -915411.301339 -937866.579581 -634405.158137 
1.25 80000000.0 89442719.1 16117447.7804 -629616.811576 -640605.78311 -651985.158979 -663776.120229 -676001.408336 -688685.471606 -701854.62836 -715537.249218 -729763.961121 -744567.876192 -759984.84902 -776053.766597 -792816.875819 -810320.154376 -828613.731882 -847752.369359 -867796.006748 -888810.389966 -910867.791335 -934047.840014 -958438.482534 -635063.763353 
1.3 76923076.9231 87705801.9307 16117447.7804 -630049.126869 -641501.49511 -653377.909343 -665702.365497 -678500.704814 -691800.794719 -705632.731371 -720029.06702 -735025.065768 -750658.99198 -766972.436289 -784010.68506 -801823.140225 -820463.797666 -839991.793926 -860472.032894 -881975.906454 -904582.125967 -928377.68499 -953458.978039 -979933.105746 -635723.737448 
1.35 74074074.0741 86066296.5824 16117447.7804 -630482.036253 -642399.715433 -654776.622745 -667639.823038 -681018.550552 -694944.430729 -709451.729791 -724577.636264 -740362.579285 -756850.589446 -774089.708959 -792132.459171 -811036.375033 -830864.61796 -851686.680849 -873579.201826 -896626.906819 -920923.705367 -946573.969568 -973694.032878 -1002413.95417 -636385.084692 
1.4 71428571.4286 84515425.4729 16117447.7804 -630915.540954 -643300.454632 -656181.337563 -669588.591035 -683555.152823 -698116.767369 -713312.29123 -729184.039321 -745778.178416 -763145.175651 -781340.31117 -800424.265908 -820463.797666 -841532.521348 -863711.812588 -887091.858134 -911772.881583 -937866.579581 -965497.81191 -994806.599394 -1025950.4971 -637047.809376 
1.45 68965517.2414 83045479.8537 16117447.7804 -631349.642201 -644203.723316 -657592.092506 -671548.768819 -686110.721997 -701318.199486 -717215.097911 -733849.386257 -751273.589329 -769545.34176 -788728.024887 -808891.501309 -830112.965071 -852477.929292 -876081.377851 -901029.113868 -927439.345318 -955444.557941 -985193.738033 -1016855.02385 -1050618.88524 -637711.915809 
1.5 66666666.6667 81649658.0928 16117447.7804 -631784.341225 -645109.532155 -659008.926614 -673520.456889 -688685.471606 -704549.129204 -721160.847068 -738574.815735 -756850.589446 -776053.766597 -796256.776477 -817539.792177 -839991.793926 -863711.812588 -888810.389966 -915411.301339 -943653.596863 -973694.032878 -1005709.9829 -1039902.94239 -1076502.77372 -638377.408315 
1.55 64516129.0323 80321932.8902 16117447.7804 -632219.639263 -646017.89188 -660431.879267 -675503.756927 -691279.618396 -707809.966091 -725150.251365 -743361.495933 -762511.009364 -782673.220384 -803930.643667 -826375.008555 -850108.582298 -875245.728043 -901914.747665 -930260.072093 -960444.878068 -992654.231424 -1027098.8848 -1064019.89444 -1103694.2699 -639044.291238 
1.6 62500000.0 79056941.5042 16117447.7804 -632655.537553 -646928.81328 -661860.990185 -677498.771816 -693893.382392 -711101.127332 -729184.039321 -748210.625512 -768256.734854 -789406.568672 -811753.862908 -835403.277009 -860472.032894 -887091.858134 -915411.301339 -945598.505663 -977844.549795 -1012367.49667 -1049417.33121 -1089282.02349 -1132295.02847 -639712.568941 
1.65 60606060.6061 77849894.4162 16117447.7804 -633092.037338 -647842.307209 -663296.299432 -679505.60566 -696526.98696 -714423.037908 -733262.955758 -753123.434614 -774089.708959 -796256.776477 -819730.837176 -844630.994796 -871091.278025 -899263.053927 -929317.925322 -961451.229277 -995886.287406 -1032879.60345 -1072727.26398 -1115772.88014 -1162417.52145 -640382.245805 
1.7 58823529.4118 76696498.8847 16117447.7804 -633529.139863 -648758.384578 -664737.84742 -681524.363797 -699180.65887 -717776.130778 -737387.762256 -758101.185904 -780011.934183 -803226.912633 -827866.144234 -854064.844983 -881975.906454 -911772.881583 -943653.596863 -977844.549795 -1014606.29829 -1054240.11319 -1097096.25346 -1143584.34521 -1194186.51632 -641053.326226 
