#p LB UB M0 T(x4) E_1 E_2(x4) P1_1 P1_2(x2) PT_1 PT_2(x1)
1 100000000.0 100000000.0 16117447.7804 -642100.029306 -630337.667039 -654309.720023 -666992.752012 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 7.4036273495e+11 -640366.490818 
1.05 95238095.2381 97590007.2949 16117447.7804 -643300.454632 -630915.540954 -656181.337563 -669588.591035 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 7.03870358635e+11 -641474.320342 
1.1 90909090.9091 95346258.9246 16117447.7804 -644505.376827 -631494.475395 -658063.693141 -672204.714258 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 6.7069547118e+11 -642586.050446 
1.15 86956521.7391 93250480.824 16117447.7804 -645714.821208 -632074.473283 -659956.879433 -674841.360369 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 6.40405356649e+11 -643701.701904 
1.2 83333333.3333 91287092.9175 16117447.7804 -646928.81328 -632655.537553 -661860.990185 -677498.771816 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 6.12639418425e+11 -644821.295378 
1.25 80000000.0 89442719.1 16117447.7804 -648147.378742 -633237.671147 -663776.120229 -680177.194879 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 5.87094755353e+11 -645944.851861 
1.3 76923076.9231 87705801.9307 16117447.7804 -649370.543487 -633820.87702 -665702.365497 -682876.87975 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 5.63515066453e+11 -647072.392378 
1.35 74074074.0741 86066296.5824 16117447.7804 -650598.333601 -634405.158137 -667639.823038 -685598.080607 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 5.41682021263e+11 -648203.938212 
1.4 71428571.4286 84515425.4729 16117447.7804 -651830.775371 -634990.517475 -669588.591035 -688341.055696 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 5.21408479386e+11 -649339.510717 
1.45 68965517.2414 83045479.8537 16117447.7804 -653067.895283 -635576.958021 -671548.768819 -691106.067415 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 5.02533112894e+11 -650479.131431 
1.5 66666666.6667 81649658.0928 16117447.7804 -654309.720023 -636164.482774 -673520.456889 -693893.382392 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 4.84916104247e+11 -651622.821997 
1.55 64516129.0323 80321932.8902 16117447.7804 -655556.276481 -636753.094742 -675503.756927 -696703.271576 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 4.68435676881e+11 -652770.604354 
1.6 62500000.0 79056941.5042 16117447.7804 -656807.591753 -637342.796948 -677498.771816 -699536.01032 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 4.52985276302e+11 -653922.500365 
1.65 60606060.6061 77849894.4162 16117447.7804 -658063.693141 -637933.592422 -679505.60566 -702391.878477 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 4.3847126371e+11 -655078.532294 
1.7 58823529.4118 76696498.8847 16117447.7804 -659324.608158 -638525.484207 -681524.363797 -705271.160486 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 4.24811016637e+11 -656238.722405 
1.75 57142857.1429 75592894.6018 16117447.7804 -660590.364527 -639118.475358 -683555.152823 -708174.14547 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 4.11931355182e+11 -657403.093218 
1.8 55555555.5556 74535599.25 16117447.7804 -661860.990185 -639712.568941 -685598.080607 -711101.127332 22732284.3067 11427453.548 26151057.4387 9933522.70988 29074811.7991 8934610.6434 31753321.4068 8180943.32958 33337979.0699 -466505077.138 9472159.4379 -1568336323.77 3.99767230543e+11 -658571.667323 
